timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
2017/10/05 15:28:47,104,GetPosts,200,OK,Lookmia general tests 1-11,text,true,,4035,484,13,13,104,0,0
2017/10/05 15:28:47,183,GetPostComments,200,OK,Lookmia general tests 1-5,text,true,,4883,476,13,13,182,0,0
2017/10/05 15:28:47,320,GetPostComments,200,OK,Lookmia general tests 1-10,text,true,,4883,476,13,13,319,0,0
2017/10/05 15:28:47,201,GetPostComments,200,OK,Lookmia general tests 1-6,text,true,,4883,476,13,13,201,0,0
2017/10/05 15:28:47,253,GetPostComments,200,OK,Lookmia general tests 1-2,text,true,,4883,476,13,13,253,0,0
2017/10/05 15:28:47,186,GetPostComments,200,OK,Lookmia general tests 1-9,text,true,,4883,476,13,13,186,0,0
2017/10/05 15:28:47,178,GetPostComments,200,OK,Lookmia general tests 1-8,text,true,,4883,476,13,13,178,0,0
2017/10/05 15:28:47,93,GetCategories,200,OK,Lookmia general tests 1-12,text,true,,1376,469,13,13,93,0,0
2017/10/05 15:28:47,129,GetPostComments,200,OK,Lookmia general tests 1-4,text,true,,4883,476,13,13,129,0,0
2017/10/05 15:28:47,212,GetFeedExpiredPosts,200,OK,Lookmia general tests 1-7,text,true,,35378,486,13,13,143,0,0
2017/10/05 15:28:47,217,GetFeedExpiredPosts,200,OK,Lookmia general tests 1-1,text,true,,35378,486,13,13,146,0,0
2017/10/05 15:28:47,218,GetFeedExpiredPosts,200,OK,Lookmia general tests 1-3,text,true,,35378,486,13,13,148,0,0
2017/10/05 15:28:47,484,Login,201,Created,Lookmia general tests 1-13,text,true,,563,843,13,13,484,0,37
2017/10/05 15:28:47,225,GetCategoryById,200,OK,Lookmia general tests 1-12,text,true,,511,471,13,13,225,0,0
2017/10/05 15:28:47,314,GetPostById,200,OK,Lookmia general tests 1-11,text,true,,1143,467,13,13,314,0,0
2017/10/05 15:28:48,74,GetUserById,200,OK,Lookmia general tests 1-13,text,true,,718,468,13,13,74,0,0
2017/10/05 15:28:48,68,GetUserCategories,200,OK,Lookmia general tests 1-12,text,true,,370,479,13,13,68,0,0
2017/10/05 15:28:47,222,GetPostComments,200,OK,Lookmia general tests 1-7,text,true,,4883,476,13,13,222,0,38
2017/10/05 15:28:47,303,PostThePostComments,201,Created,Lookmia general tests 1-4,text,true,,552,591,13,13,303,0,0
2017/10/05 15:28:47,380,PostThePostComments,201,Created,Lookmia general tests 1-6,text,true,,552,591,13,13,380,0,0
2017/10/05 15:28:47,381,PostThePostComments,201,Created,Lookmia general tests 1-9,text,true,,552,591,13,13,380,0,0
2017/10/05 15:28:47,385,PostThePostComments,201,Created,Lookmia general tests 1-5,text,true,,552,591,13,13,385,0,0
2017/10/05 15:28:47,382,PostThePostComments,201,Created,Lookmia general tests 1-2,text,true,,552,591,13,13,382,0,0
2017/10/05 15:28:47,372,PostThePostComments,201,Created,Lookmia general tests 1-8,text,true,,552,591,13,13,372,0,0
2017/10/05 15:28:47,254,GetPostComments,200,OK,Lookmia general tests 1-3,text,true,,4883,476,13,13,254,0,0
2017/10/05 15:28:47,255,GetPostComments,200,OK,Lookmia general tests 1-1,text,true,,4883,476,13,13,255,0,0
2017/10/05 15:28:47,403,PostThePostComments,201,Created,Lookmia general tests 1-10,text,true,,552,591,13,13,403,0,37
2017/10/05 15:28:48,100,PatchUserFirstName,200,OK,Lookmia general tests 1-13,text,true,,721,523,13,13,100,0,0
2017/10/05 15:28:48,83,PostUserCategories,200,OK,Lookmia general tests 1-12,text,true,,421,533,14,14,83,0,0
2017/10/05 15:28:48,85,PostThePostComments,201,Created,Lookmia general tests 1-7,text,true,,552,591,14,14,85,0,0
2017/10/05 15:28:48,169,GetLikedPosts,200,OK,Lookmia general tests 1-11,text,true,,14878,489,14,14,136,0,0
2017/10/05 15:28:48,76,PatchUserLastName,200,OK,Lookmia general tests 1-13,text,true,,724,521,14,14,76,0,0
2017/10/05 15:28:48,81,PutUserCategories,200,OK,Lookmia general tests 1-12,text,true,,370,526,14,14,81,0,0
2017/10/05 15:28:48,128,PostThePostComments,201,Created,Lookmia general tests 1-1,text,true,,552,591,14,14,128,0,38
2017/10/05 15:28:48,167,PostThePostComments,201,Created,Lookmia general tests 1-3,text,true,,552,591,14,14,167,0,40
2017/10/05 15:28:48,85,PatchUserBirthday,200,OK,Lookmia general tests 1-13,text,true,,724,533,14,14,85,0,0
2017/10/05 15:28:48,158,GetFeedPosts,200,OK,Lookmia general tests 1-11,text,true,,4116,478,14,14,158,0,59
2017/10/05 15:28:48,115,GetPosts,200,OK,Lookmia general tests 1-12,text,true,,4035,484,14,14,115,0,0
2017/10/05 15:28:48,88,PatchUserFullInfo,200,OK,Lookmia general tests 1-13,text,true,,718,596,14,14,88,0,0
2017/10/05 15:28:48,75,GetUserById,200,OK,Lookmia general tests 1-1,text,true,,718,468,14,14,75,0,0
2017/10/05 15:28:48,84,GetPostById,200,OK,Lookmia general tests 1-12,text,true,,1143,467,14,14,84,0,0
2017/10/05 15:28:48,83,GetUserById,200,OK,Lookmia general tests 1-6,text,true,,718,468,14,14,83,0,0
2017/10/05 15:28:48,82,GetUserById,200,OK,Lookmia general tests 1-5,text,true,,718,468,14,14,82,0,0
2017/10/05 15:28:48,83,GetUserById,200,OK,Lookmia general tests 1-3,text,true,,718,468,14,14,83,0,0
2017/10/05 15:28:48,89,GetUserById,200,OK,Lookmia general tests 1-10,text,true,,718,468,14,14,89,0,0
2017/10/05 15:28:48,101,GetUserById,200,OK,Lookmia general tests 1-9,text,true,,718,468,14,14,101,0,0
2017/10/05 15:28:48,99,GetUserById,200,OK,Lookmia general tests 1-7,text,true,,718,468,14,14,99,0,0
2017/10/05 15:28:48,136,GetUserById,200,OK,Lookmia general tests 1-4,text,true,,718,468,14,14,136,0,45
2017/10/05 15:28:48,146,GetUserById,200,OK,Lookmia general tests 1-2,text,true,,718,468,14,14,146,0,40
2017/10/05 15:28:48,106,GetCategories,200,OK,Lookmia general tests 1-13,text,true,,1376,469,14,14,106,0,0
